set_num,name,year,theme_id,num_parts
10106-1,Snowflake,2006,227,107
10143-1,Death Star II,2005,174,3460
10144-1,Sandcrawler,2005,169,1679
10152-2,Maersk Sealand Container Ship 2005 Edition,2005,276,982
10152-3,Maersk Line Container Ship 2006 Edition,2006,276,982
10155-1,Maersk Line Container Ship 2010 Edition,2010,276,984
10168-1,Mrs. Bunny,2005,229,64
10169-1,Chicken & Chicks,2005,229,60
10170-1,TTX Intermodal Double-Stack Car,2005,236,365
10173-1,Holiday Train,2006,236,969
10174-1,Imperial AT-ST - UCS,2006,174,1070
10175-1,Vader's TIE Advanced - UCS,2006,174,1211
10176-1,Royal King's Castle,2006,197,871
10177-1,Boeing 787 Dreamliner,2006,276,1196
10178-1,Motorized Walking AT-AT,2007,169,1137
10179-1,Millennium Falcon - UCS,2007,174,5195
10181-1,Eiffel Tower 1:300 Scale,2007,276,3428
10182-1,Cafe Corner,2007,155,2058
10183-1,Hobby Train,2007,397,1080
10184-1,Town Plan,2008,104,2017
10185-1,Green Grocer,2008,155,2358
10186-1,General Grievous,2008,173,1084
10187-1,Volkswagen Beetle (VW Beetle),2008,276,1625
10188-1,Death Star,2008,174,3807
10189-1,Taj Mahal,2008,276,5922
10190-1,Market Street,2007,155,1250
10191-1,Star Justice,2008,397,884
10192-1,Space Skulls,2008,397,956
10193-1,Medieval Market Village,2009,193,1616
10194-1,Emerald Night,2009,240,1089
10195-1,Republic Dropship with AT-OT,2009,165,1757
10196-1,Grand Carousel,2009,276,3260
10197-1,Fire Brigade,2009,155,2236
10198-1,Tantive IV,2009,169,1408
10199-1,Winter Toy Shop,2009,227,815
10200-1,Custom Car Garage,2008,397,893
10203-1,Voporak,2005,347,3
10204-1,Vezon & Kardas,2006,347,3
10210-1,Imperial Flagship,2010,153,1623
10211-1,Grand Emporium,2010,155,2186
10212-1,Imperial Shuttle - UCS,2010,174,2502
10213-1,Shuttle Adventure,2010,276,1203
10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29
10214-1,Tower Bridge,2010,276,4295
10215-1,Obi-Wan's Jedi Starfighter - UCS,2010,175,675
10216-1,Winter Village Bakery,2010,227,686
10217-1,Diagon Alley,2011,246,2031
10218-1,Pet Shop,2011,155,2034
10219-1,Maersk Container Train,2011,240,1232
10220-1,Volkswagen T1 Camper Van,2011,276,1333
10221-1,Super Star Destroyer,2011,174,3151
10222-1,Winter Village Post Office,2011,227,821
10223-1,Kingdoms Joust,2012,196,1574
10224-1,Town Hall,2012,155,2771
10225-1,R2-D2,2012,171,2130
10226-1,Sopwith Camel,2012,276,877
10227-1,B-wing Starfighter,2012,174,1484
10228-1,Haunted House,2012,558,2062
10229-1,Winter Village Cottage,2012,227,1490
10230-1,Mini Modulars,2012,156,1358
10231-1,Shuttle Expedition,2011,276,1229
10232-1,Palace Cinema,2013,155,2192
10233-1,Horizon Express,2013,240,1349
10234-1,Sydney Opera House,2013,276,2988
10235-1,Winter Village Market [Initial Release],2013,227,1259
10236-1,Ewok Village,2013,169,2023
10237-1,The Tower of Orthanc,2013,568,2360
10240-1,Red Five X-Wing Starfighter,2013,174,1573
10241-1,Maersk Line Triple-E,2014,38,1515
10242-1,Mini Cooper,2014,22,1074
10242-2,Mini Cooper,2015,22,1076
10243-1,Parisian Restaurant,2014,155,2469
10244-1,Fairground Mixer,2014,22,1743
10245-1,Santa’s Workshop,2014,228,882
10246-1,Detective’s Office,2015,155,2261
10247-1,Ferris Wheel,2015,22,2463
10248-1,Ferrari F40,2015,22,1157
10249-1,Winter Toy Shop,2015,227,895
10250-1,Year Of The Snake,2013,22,244
10251-1,Brick Bank,2016,155,2383
10252-1,Volkswagen Beetle,2016,22,1166
10253-1,Big Ben,2016,43,4166
10254-1,Winter Holiday Train,2016,227,737
10255-1,Assembly Square,2017,155,4009
10257-1,Carousel,2017,22,2669
10285-1,Compass Sensor for Mindstorms NXT,2011,259,1
10287-1,Intelligent NXT Brick (Black),2009,259,1
10500-1,Horse Stable,2013,504,44
10501-1,Zoo friends,2013,504,5
10504-1,My First Circus,2013,504,62
10505-1,Play House,2013,504,83
10506-1,Train Accessory Set,2013,504,24
10507-1,My First Train Set,2013,504,52
10508-1,Deluxe Train Set,2013,504,134
10509-1,Dusty and Chug,2013,504,16
10510-1,Ripslinger's Air Race,2013,504,40
10511-1,Skipper's Flight School,2013,504,49
10512-1,Jake's Treasure Hunt,2013,504,22
10513-1,Never Land Hideout,2013,504,37
10514-1,Jake's Pirate Ship Bucky,2013,504,56
10515-1,Ariel's Undersea Castle,2013,504,39
10516-1,Ariel's Magical Boat Ride,2012,504,29
10517-1,My First Garden,2013,504,37
10518-1,My First Construction Site,2013,504,47
10520-1,Big Front Loader,2013,504,12
10521-1,Baby Calf,2014,504,9
10522-1,Farm Animals,2014,504,12
10524-1,Farm Tractor,2014,504,29
10525-1,Big Farm,2014,504,121
10526-1,Peter Pan's Visit,2014,504,39
10527-1,Ambulance,2014,504,14
10528-1,School Bus,2014,504,26
10529-1,Truck,2014,504,16
10531-1,Mickey Mouse and Friends,2012,504,65
10532-1,My First Police Set,2014,504,39
10538-1,Fire and Rescue Team,2014,506,30
10539-1,Beach Racing,2014,504,36
10542-1,Sleeping Beauty's Fairy Tale,2014,579,55
10543-1,Superman™ Rescue,2014,504,19
10544-1,The Joker Challenge,2014,504,40
10545-1,Batcave Adventure,2014,504,59
10546-1,My First Shop,2014,504,39
10550-1,Circus Transport,2013,504,9
10552-1,Creative Cars,2013,504,42
10553-1,Toddler Build and Play Cubes,2013,505,17
10554-1,Toddler Build and Pull Along,2013,505,15
10555-1,Creative Bucket,2013,505,65
10557-1,Giant Tower,2013,504,200
10558-1,Number Train,2013,504,31
