set_num,name,year,theme_id,num_parts
00-1,Weetabix Castle,1970,414,471
0011-2,Town Mini-Figures,1978,84,12
0011-3,Castle 2 for 1 Bonus Offer,1987,199,2
0012-1,Space Mini-Figures,1979,143,12
0013-1,Space Mini-Figures,1979,143,12
0014-1,Space Mini-Figures,1979,143,12
0015-1,Space Mini-Figures,1979,143,18
0016-1,Castle Mini Figures,1978,186,15
00-2,Weetabix Promotional House 1,1976,413,147
00-3,Weetabix Promotional House 2,1976,413,149
00-4,Weetabix Promotional Windmill,1976,413,126
005-1,Basic Building Set in Cardboard,1965,366,35
00-6,Special Offer,1985,67,3
00-7,Weetabix Promotional Lego Village,1976,413,3
010-1,Basic Building Set in Cardboard,1965,366,57
010-3,Basic Building Set,1968,366,77
011-1,Basic Building Set,1968,366,145
022-1,Basic Building Set,1968,366,110
033-2,Basic Building Set,1968,366,177
044-1,Basic Building Set,1968,366,225
055-2,Basic Building Set,1968,366,256
066-1,Basic Building Set,1968,366,407
080-1,Basic Building Set with Train,1967,366,710
088-1,Super Set,1969,469,615
100-1,4.5V Motor with Wheels (Small Version),1966,243,16
100-2,4.5V Motor with Wheels (Large Version),1966,243,27
101-1,4.5V Battery Case,1969,243,1
101-3,4.5V Battery Case,1966,243,1
10-2,Universal Building Set,1976,469,129
102-1,4.5V Motor Set,1968,243,24
102A-1,Front-End Loader,1970,416,64
102A-2,Front-End Loader,1970,416,56
10-3,Locomotive Wheels,1977,456,8
1030-1,TECHNIC I: Simple Machines Set,1985,1,189
103-1,4.5V Motor Set with Rubber Tracks,1969,473,24
1031-1,Building Cards - 1030,1983,532,20
1032-1,TECHNIC II Set {4.5v},1985,1,278
1033-1,Building Cards - 1032,1985,532,20
1034-1,Teachers Resource Set,1985,532,1534
1038-1,ERBIE the Robo-Car,1985,1,120
1039-1,Manual Control Set 1,1986,1,39
104-1,Replacement 4.5V Motor,1970,243,1
1045-2,Educational LEGO Building Set,1976,511,683
1049-1,Ships - 247 elements and 1 poster,1985,510,238
105-1,Canada Post Truck,1984,81,65
105-2,Building Set,1973,469,150
1053-1,Community Buildings,1984,533,895
1056-1,Basic School Pack - 773 elements with teacher's manual,1985,534,785
1060-1,Road Plates and Signs,1981,533,30
106-1,UNICEF Van,1985,79,59
1062-1,{Town Vehicles},1980,533,158
1063-1,Community Workers,1985,533,169
1064-1,Dacta Buildings,1981,533,0
1065-1,House Accessories - 182 elements,1985,534,196
1066-1,36 Little People + Accessories,1982,533,174
1067-1,Community Vehicles,1988,507,251
107-1,4.5V Motor Set,1976,473,31
107-2,Canada Post Mail Truck,1985,81,138
1075-1,LEGO People Supplementary Set,1980,511,256
1077-1,Supplementary Set,1976,528,170
108-1,Battery Box,1976,243,1
1083-1,Supplementary Pack,1986,534,106
1089-1,Lego Basic Figures - 24 elements,1985,534,24
1090-1,TECHNIC Control I,1986,1,397
1092-1,TECHNIC Control II,1986,1,467
1-10,Mini-Wheel Model Maker No. 1,1971,423,86
110-1,Universal Building Set,1977,469,129
1101-1,Replacement 4.5V Motor,1977,443,1
1102-1,Motor Bushes,1977,456,4
1103-1,Battery Box,1977,443,1
1104-1,Battery Cables (75cm),1977,443,2
1105-1,Crawler Tracks,1977,443,2
1106-1,Battery Tender,1977,456,2
1107-1,Signal and Direction-Change Switch,1977,456,4
1108-1,Magnetic Couplings,1977,456,4
1109-1,Magnetic Couplings for Railway Car,1977,456,4
1-11,Basic Souvenir Box,1981,469,36
1110-1,Train Wheels,1977,456,8
111-1,Universal Building Set,1977,469,173
1111-1,Rubber Rims for Locomotive Wheels,1977,456,8
111-2,Starter Train Set without Motor,1966,235,118
1112-1,Train Sliding Wheel Blocks,1977,456,2
1113-1,Motor Frame and Couplers,1977,443,5
1114-1,Motor Frame,1977,443,1
1115-1,4.5V Lighting Brick (2 x 2),1977,443,1
1116-1,"Chain Links, Small",1977,443,25
1118-1,"Boat Weight, Red",1977,443,1
1119-1,Locomotive Piston Assemblies,1977,456,6
11-2,Small Pre-School Basic Set,1973,433,31
1120-1,Tires (42 mm),1977,443,2
112-1,Universal Building Set,1977,469,200
1121-1,"Propellers, Wheels and Rotor Unit",1977,443,15
112-2,Locomotive with Motor,1966,235,74
1122-1,Hinges,1977,443,3
1123-1,"Ball and Socket Couplings, Articulated Joint",1977,443,8
1124-1,Digger Bucket,1977,443,3
1125-1,Crane Grab,1977,443,3
1126-1,"Jack Complete Assembly, Blue",1983,443,1
1129-1,Storage Cloth (Spread Bag),1980,473,1
11-3,Locomotive Traction Tires,1977,456,8
1130-1,Storage Folder for Building Instructions (16 Internal Pockets),1980,443,1
113-1,Universal Building Set,1977,469,293
1131-1,Tires (42 mm) and Hubs,1981,453,4
113-2,Motorized Train Set,1966,235,344
1132-1,Hinges,1981,443,8
1133-1,Brick Hinges,1981,443,8
1134-1,Battery Wagon,1981,456,2
1135-1,"Battery Cable Kit: 12 Connectors, 3m Cable",1981,443,13
1135-2,"Battery Cable Kit: 16 Connectors, 3m Cable",1981,443,17
1135-3,"Battery Cable Kit: 20 Connectors, 3m Cable",1981,443,21
1136-1,"Buffers, Magnetic Couplers",1981,456,6
1137-1,Train Couplings,1981,456,4
1138-1,Replacement Rubber Wheel Treads for Trains,1981,456,8
1139-1,Motor-Mount Plate with Magnetic Couplers,1981,456,5
1140-1,12V Light Bricks,1981,443,2
114-1,Universal Building Set,1977,469,390
1141-1,Wheel Bricks with Small Red Train Wheels,1981,456,2
114-2,Small Train Set,1966,235,88
1142-1,Wheel Bricks with Small Black Train-Wheels,1981,456,2
1143-1,Wheel Bricks with Large Red Train Wheels,1981,456,2
1144-1,Train Baseplate,1981,456,1
1145-1,Bogie Plate,1981,456,1
1146-1,"Pushrods, Cylinder Housings",1981,456,6
1147-1,"Light Prisms & Holder, Red/Yellow Light Covers",1981,456,7
1148-1,Differential,1981,453,5
1149-2,Bulldozer Chainlinks,1982,453,52
1150-1,Replacement Motor 12V,1977,443,1
115-1,Building Set,1973,469,190
1151-1,Train Power Pick-Up Blocks,1977,456,2
115-2,Starter Train Set with Motor,1966,235,132
1152-1,Electric Wire,1977,456,2
1154-1,Battery Control Unit,1986,453,1
1160-1,"TECHNIC Pneumatic Tubing, 40cm +100cm",1985,453,2
116-1,Starter Train Set with Motor,1967,235,364
1161-1,TECHNIC Pneumatic Pump Cylinder 48mm,1985,453,1
116-2,Deluxe Motorized Train Set,1968,235,361
1162-1,TECHNIC Pneumatic Piston Cylinder 48mm,1985,453,1
1163-1,TECHNIC Pneumatic Piston Cylinder 60mm,1985,453,1
1164-1,TECHNIC Pneumatic 2 Way Valve and Nonreturn Valve,1985,453,2
1168-1,Battery Box,1986,1,1
1169-1,Bogie Plates,1986,456,2
1170-1,Replacement Train Battery Tender,1986,456,2
117-1,Locomotive without Motor,1967,235,99
1171-1,Lighting Brick with Red and Blue Globes,1986,443,5
1172-1,Colored Globes,1986,443,5
1174-1,Motorhome for Basic Motor 4.5V/Train Motor 12V,1986,443,2
1175-1,4.5v TECHNIC Motor,1982,453,1
1176-1,Gear Racks and Turntables,1978,453,6
1178-1,"Siren, Black",1986,443,1
1179-1,Replacement Space Siren,1986,443,1
118-1,Electronic Train,1968,235,103
118-2,Small Train Set,1968,235,117
118-3,Motorized Freight or Passenger Train (Sears Exclusive),1969,235,419
119-1,Super Train Set,1968,235,401
1197-2,Crown Gears,1981,453,2
1200-1,"LEGO Town Plan Board, Large Plastic",1955,372,1
1200-2,"LEGO Town Plan Board, Small Plastic",1956,372,1
1200M-1,LEGO Town Plan Wooden Board,1957,372,1
120-1,Complete Freight Train Set with Tipper Trucks,1969,235,163
1203-1,"Turntables (4 x 4), Turntables (2 x 2)",1985,443,8
1204-1,"Fences, Red and Black",1984,443,10
120438-1,Basic Building Set,1985,469,176
1205-1,Keys for Wind-Up Motor,1982,443,2
